variable,var,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,Prop_iv,Max_IV_test,IV_test,breaks,is_special_values,counter,num_bin,Trend,Trend_Business,Gini_train,Gini_oot,Relative_diff,keep
MAX_DPD_LAST_12_MONTHS_ACTIVE,MAX_DPD_LAST_12_MONTHS_ACTIVE_woe,"[-inf,1.0)",3144,0.8550448735382105,2571,573,0.18225190839694658,-0.10395596925058087,0.008951488298158594,0.05353696715390957,0.167202005904156,0,0,1.0,False,1,3,Increasing,Increasing,0.08663472759658486,0.03421755088421752,0.6052791768171749,1
MAX_DPD_LAST_12_MONTHS_ACTIVE,MAX_DPD_LAST_12_MONTHS_ACTIVE_woe,"[1.0,3.0)",243,0.06608648354636933,174,69,0.2839506172839506,0.4722597266832994,0.01682526305678561,0.05353696715390957,0.3142737430085622,0,0,3.0,False,2,3,Increasing,Increasing,0.08663472759658486,0.03421755088421752,0.6052791768171749,1
MAX_DPD_LAST_12_MONTHS_ACTIVE,MAX_DPD_LAST_12_MONTHS_ACTIVE_woe,"[3.0,inf)",290,0.07886864291542017,203,87,0.3,0.5499106609133653,0.027760215798965364,0.05353696715390957,0.5185242510872818,0,0,inf,False,3,3,Increasing,Increasing,0.08663472759658486,0.03421755088421752,0.6052791768171749,1
MAX_DPD_LAST_24_MONTHS_ACTIVE,MAX_DPD_LAST_24_MONTHS_ACTIVE_woe,"[-inf,1.0)",2983,0.8112591786782704,2438,545,0.18270197787462286,-0.10093899407740363,0.008014748473939836,0.04031437239935153,0.19880623204415196,0,0,1.0,False,1,3,Increasing,Increasing,0.08166984009991185,0.051534868201534856,0.3688491052432925,1
MAX_DPD_LAST_24_MONTHS_ACTIVE,MAX_DPD_LAST_24_MONTHS_ACTIVE_woe,"[1.0,3.0)",332,0.09029099809627414,251,81,0.24397590361445784,0.26620473684122387,0.006912975413975697,0.04031437239935153,0.1714766968339781,0,0,3.0,False,2,3,Increasing,Increasing,0.08166984009991185,0.051534868201534856,0.3688491052432925,1
MAX_DPD_LAST_24_MONTHS_ACTIVE,MAX_DPD_LAST_24_MONTHS_ACTIVE_woe,"[3.0,inf)",362,0.09844982322545553,259,103,0.2845303867403315,0.47510944783066716,0.025386648511436,0.04031437239935153,0.6297170711218699,0,0,inf,False,3,3,Increasing,Increasing,0.08166984009991185,0.051534868201534856,0.3688491052432925,1
NO_OF_TIMES_30_DPD_6MONTHS,NO_OF_TIMES_30_DPD_6MONTHS_woe,"[-inf,1.0)",3139,0.8536850693500136,2569,570,0.18158649251353934,-0.10842711498071858,0.009709134105940766,0.0582607759701604,0.16664958446337075,0,0,1.0,False,1,3,Increasing,Increasing,0.09056662069376276,0.03195973751529291,0.6468750902700866,1
NO_OF_TIMES_30_DPD_6MONTHS,NO_OF_TIMES_30_DPD_6MONTHS_woe,"[1.0,2.0)",139,0.03780255643187381,102,37,0.26618705035971224,0.3831536206605224,0.006189743111086923,0.0582607759701604,0.10624203004534548,0,0,2.0,False,2,3,Increasing,Increasing,0.09056662069376276,0.03195973751529291,0.6468750902700866,1
NO_OF_TIMES_30_DPD_6MONTHS,NO_OF_TIMES_30_DPD_6MONTHS_woe,"[2.0,inf)",399,0.10851237421811259,277,122,0.3057644110275689,0.577212059846487,0.042361898753132704,0.0582607759701604,0.7271083854912836,0,0,inf,False,3,3,Increasing,Increasing,0.09056662069376276,0.03195973751529291,0.6468750902700866,1
NO_OF_TIMES_30_DPD_9MONTHS,NO_OF_TIMES_30_DPD_9MONTHS_woe,"[-inf,1.0)",2922,0.7946695675822681,2398,524,0.17932922655715264,-0.12369012996584841,0.011706030050716264,0.053992567129360236,0.21680817699721347,0,0,1.0,False,1,3,Increasing,Increasing,0.09768776767118381,0.04771438104771453,0.511498327773483,1
NO_OF_TIMES_30_DPD_9MONTHS,NO_OF_TIMES_30_DPD_9MONTHS_woe,"[1.0,6.0)",496,0.13489257546913244,370,126,0.2540322580645161,0.3199874226137768,0.015145224426608135,0.053992567129360236,0.28050572943349494,0,0,6.0,False,2,3,Increasing,Increasing,0.09768776767118381,0.04771438104771453,0.511498327773483,1
NO_OF_TIMES_30_DPD_9MONTHS,NO_OF_TIMES_30_DPD_9MONTHS_woe,"[6.0,inf)",259,0.0704378569485994,180,79,0.305019305019305,0.5736995228773801,0.027141312652035832,0.053992567129360236,0.5026860935692915,0,0,inf,False,3,3,Increasing,Increasing,0.09768776767118381,0.04771438104771453,0.511498327773483,1
NO_OF_TIMES_30_DPD_12MONTHS,NO_OF_TIMES_30_DPD_12MONTHS_woe,"[-inf,1.0)",2736,0.7440848517813435,2248,488,0.1783625730994152,-0.13027228385986545,0.012133655755854818,0.04598765587944524,0.26384592830003556,0,0,1.0,False,1,3,Increasing,Increasing,0.09704610133023617,0.08529640751862977,0.12113086403717936,1
NO_OF_TIMES_30_DPD_12MONTHS,NO_OF_TIMES_30_DPD_12MONTHS_woe,"[1.0,3.0)",355,0.09654609736197987,273,82,0.23098591549295774,0.1944559733798625,0.003865336954776413,0.04598765587944524,0.08405161952392694,0,0,3.0,False,2,3,Increasing,Increasing,0.09704610133023617,0.08529640751862977,0.12113086403717936,1
NO_OF_TIMES_30_DPD_12MONTHS,NO_OF_TIMES_30_DPD_12MONTHS_woe,"[3.0,inf)",586,0.15936905085667663,427,159,0.2713310580204778,0.4093287102921761,0.029988663168814007,0.04598765587944524,0.6521024521760375,0,0,inf,False,3,3,Increasing,Increasing,0.09704610133023617,0.08529640751862977,0.12113086403717936,1
