USER_ID,LOAN_ID,DISBURSED_DATE,BAD_FLAG,LAST_1_MONTH_CUSTOMERS,LAST_2_MONTH_CUSTOMERS,LAST_3_MONTH_CUSTOMERS,RATIO_OF_CUSTOMERS_ADDED_L1_L3_MNTH,DELETED_CUSTOMERS,LAST_1_MONTH_BOOKS,LAST_2_MONTH_BOOKS,LAST_3_MONTH_BOOKS,RATIO_OF_BOOKS_ADDED_L1_L3_MNTH,DELETED_BOOKS,TOTAL_APPS,BUSINESS_APPS,FINANCE_APPS,BUSINESS_TOTALAPPS_PROPORTION,FINANCE_TOTALAPPS_PROPORTION,DEVICE_CARRIER_GROUP,PRICE,BUSINESS_CARD_FLAG,pred_train1,logodds_score,Calib_PD,Act_pred
52499bbd-f855-47f6-a9eb-07e3412bb73a,858,07/10/21,0,14,21,26,0.538462,107,1,1,1,1,0,192,18,24,0.09375,0.125,JIO,70,,0.006317184,-5.0581446,0.035597527,0.062666667
4b3dc76a-f505-424e-b0c0-4740b27d068c,20244,20/06/22,0,4,7,11,0.363636,7,0,0,0,,0,85,11,26,0.129412,0.305882,JIO,20,,0.006337354,-5.0549364,0.035634169,0.062666667
71b0ebed-310e-47d7-83a1-75fdd8c5b0e2,14352,11/05/22,0,0,1,1,0,6,0,0,0,,0,30,4,11,0.133333,0.366667,AIRTEL,14,,0.006412307,-5.043103,0.035769633,0.062666667
1196f51b-2a30-4e85-a4c2-f33de0d6a2fa,20012,15/06/22,0,3,6,8,0.375,42,0,0,0,,1,59,16,12,0.271186,0.20339,JIO,12,,0.006441541,-5.038525,0.035822176,0.062666667
158de9a5-4a49-48a5-9e41-e535c7be5aee,462,26/09/21,0,0,0,0,,0,0,0,0,,0,78,8,28,0.102564,0.358974,VI,30,,0.006490283,-5.0309377,0.03590942,0.062666667
9d99407b-3d0f-415e-8408-24398767c8b6,7888,22/03/22,0,35,41,47,0.744681,29,0,0,1,0,1,46,11,8,0.23913,0.173913,JIO,6,,0.006500786,-5.02931,0.035928159,0.062666667
96d27edf-239c-4998-ae61-c165a913d19c,22132,22/06/22,0,8,10,10,0.8,8,0,0,0,,0,75,9,14,0.12,0.186667,JIO,28,,0.006528648,-5.0250053,0.035977775,0.062666667
31faeda0-a2ae-4902-8061-5a41b6af4adb,6698,01/04/22,0,14,19,25,0.56,2,0,1,1,0,0,68,7,11,0.102941,0.161765,AIRTEL,34.5,,0.006665656,-5.004099,0.036219668,0.062666667
1a5f8fda-8b61-4318-99e8-eff32e0d96b9,17970,10/06/22,0,0,1,1,0,2,0,0,0,,0,74,16,19,0.216216,0.256757,JIO,16,,0.006666556,-5.003963,0.036221246,0.062666667
a594f55e-bdce-4c28-ade2-f652962f118e,14507,06/05/22,0,1,3,8,0.125,41,0,0,0,,0,17,1,13,0.058824,0.764706,VI,15,,0.0066857,-5.001076,0.036254771,0.083808845
24cdcf6a-994c-4f56-846a-07e6c2938091,5106,05/03/22,0,29,165,241,0.120332,6,0,0,0,,0,82,8,27,0.097561,0.329268,VI,22,,0.006786094,-4.9860706,0.036429517,0.062666667
d2a2bf9e-9228-4cea-975d-b8658e5c6b06,14268,13/05/22,0,2,2,2,1,1,0,0,0,,0,156,17,29,0.108974,0.185897,JIO,40,,0.00679701,-4.9844522,0.036448412,0.062666667
0b072275-a6bf-44e7-8c18-2835943a0636,8581,20/05/22,0,2,4,5,0.4,0,0,0,0,,0,91,8,24,0.087912,0.263736,VI,28.5,,0.00698065,-4.957608,0.036763202,0.062666667
71b0ebed-310e-47d7-83a1-75fdd8c5b0e2,1930,24/01/22,0,0,0,0,,5,0,0,0,,0,30,4,11,0.133333,0.366667,AIRTEL,14,,0.007001561,-4.954596,0.036798687,0.062666667
aaa82fad-a13a-4a19-9435-e44929dc7923,17205,03/06/22,0,0,0,0,,,0,0,0,,0,47,1,21,0.021277,0.446809,AIRTEL,7.5,,0.007116986,-4.9381285,0.036993269,0.083808845
1a5f8fda-8b61-4318-99e8-eff32e0d96b9,3808,27/02/22,0,0,0,0,,2,0,0,0,,0,74,16,19,0.216216,0.256757,JIO,16,,0.007135756,-4.935476,0.037024706,0.062666667
9fea1883-5039-49c5-b9d7-0e072fcff0d5,5422,10/03/22,0,4,7,9,0.444444,15,0,0,0,,0,110,9,31,0.081818,0.281818,JIO,34.5,,0.007135927,-4.9354515,0.037024994,0.062666667
ae3d0ea1-20ca-4235-9376-b76d43eb3041,3606,02/03/22,0,30,42,55,0.545455,7,4,8,8,0.5,0,469,17,81,0.036247,0.172708,VI,23,,0.007218705,-4.923835,0.037162966,0.083808845
8e63bf43-a243-4063-9493-e91f642b34b5,10874,05/04/22,1,0,0,0,,1,0,0,0,,0,78,18,18,0.230769,0.230769,JIO,25,,0.007259241,-4.9181943,0.037230137,0.062666667
d7fb6628-2af3-4621-b6ac-5dbab478d44d,8086,25/03/22,0,14,41,47,0.297872,23,0,0,0,,0,112,11,35,0.098214,0.3125,JIO,20,,0.007266919,-4.9171295,0.03724283,0.062666667
